HPO	Associated Genes
Abdominal symptom	TRAPPC12,CASP8,SCN5A,GREM1,BMPER,TRNW,SOX3,FGF8,KRIT1,SLC9A3,RARA,PSAP,IL17RA,CCNF,GDNF,MATR3,MAP3K7,GALT,YY1,AK2,SEMA3E,KIAA0586,PRPH,TNF,FARSB,SBDS,WDR1,UBA5,ADA,AARS1,PKHD1,TMEM106B,PLAG1,CARS2,ND6,MSX2,TGFB1,MCCC2,GLUD2,TTC37,KCNA2,SGSH,FDFT1,IFT122,SMARCAL1,PIGB,GALNT2,PTPRC,TICAM1,STAG2,RPS28,SMPD1,ITGA2B,APRT,TOP3A,HCCS,MYPN,ECE1,COL6A3,MKS1,LINS1,FAS,NAGLU,NBAS,MITF,RFT1,B2M,FOXE1,LACC1,HLA-DQB1,IDUA,POMT2,ACADS,OTC,SCNN1A,ARID2,POU6F2,SMARCE1,GCGR,IL21R,F12,PEX11B,RAPSN,PMS1,APC2,DHFR,LCK,RFX6,ITGB3,MRPS16,LMNA,SCNN1G,MAP3K20,MST1,SLC25A19,HMGCL,ABCD4,AVPR2,ZNF148,ATP6V0A2,BLM,PON2,HERC2,MFF,TTR,COMT,TMPRSS15,MICOS13,MSH2,NPM1,UNC93B1,WASF1,GNPTAB,FREM2,SDHC,DGUOK,CASR,PRDM16,CCDC88A,MYH7,ITGA2,DLL3,MBOAT7,MYC,G6PC,HSPG2,GCM2,NHLRC2,HMGA2,PRPS1,PCCB,MECP2,EIF4G1,NAXD,IL2RA,EHMT1,CNOT3,ACY1,RREB1,NEUROG3,ARG1,NDUFS6,SKI,MCCC1,ATXN7,C9ORF72,SDHAF2,PLCB4,UGDH,HIKESHI,SHANK3,CDKN1A,MED13,ELP1,KRT18,CACNA1S,KMT2D,SAMHD1,UFC1,YWHAG,TSHB,TP53RK,CLTC,MTTP,CREBBP,BTK,COQ9,TBP,SATB2,MYLK,FLII,HNRNPK,PCGF2,POU2AF1,CCR1,KRT6B,CASK,POLG,GRIN2D,TCF4,SELENON,ERCC1,OPA1,GMPPA,AIP,FOXA2,MRAS,CEP41,SOX2,AHDC1,SAMD9,LPL,CNKSR2,TMEM67,ETFB,IFT52,GFI1,ARX,RAB3GAP2,EWSR1,NLRP12,BPTF,LRRK2,KRT6A,STRADA,CPA1,DYNC2H1,IL10RA,COQ7,EPRS1,PHF6,NODAL,ACAD8,IFT172,MIPEP,MKRN3,CLTCL1,NDN,SNCAIP,IL2RB,DDRGK1,EDC3,AHI1,COL13A1,PREPL,EED,KIF15,CYP24A1,SLC39A4,CYP11B2,MLH1,UBB,REV3L,COG5,RNASEH2A,NOTCH2NLC,TMEM126B,NDUFA1,ETFDH,ACADL,SETD2,PALB2,AP3D1,CSPP1,MTR,TRAK1,LMBRD1,DNASE1L3,GOT2,FLAD1,IL18BP,GP1BB,MMAA,LAMB3,TNFSF15,CHST14,PROKR2,KRT10,DNAJC21,PEX13,PARK7,LAGE3,WAS,SLC6A3,CC2D2A,NABP1,CHAT,B9D1,MMEL1,WDR19,PINK1,PEX26,DPF2,ARL3,RAB3GAP1,ATP6V0A4,SETBP1,TUBB3,ATM,TMCO1,IL17RC,SLC6A8,MMACHC,HEXB,PORCN,PTPN22,IL12RB1,SCNN1B,PGAP3,SLC46A1,RELA,RET,BOLA3,PPP2R5D,FTL,ASCL1,TRAF7,HGSNAT,GJC2,PON1,ATN1,OPTN,TRNH,EPB41,SOX10,IL10,VPS13B,MED12,COA8,KIF1A,BTD,TG,SPP1,H19,IFIH1,FARS2,NDUFV2,ASAH1,COL11A2,DLST,NDUFA6,PALLD,CCDC47,TRIP13,SETD5,IFT80,COX4I2,UNC80,RAG2,SLC10A2,TXN2,CTRC,PIGN,TOR1A,LIG4,LAMB2,TNIK,EFTUD2,TBX1,EPHA4,NPAP1,ATXN8OS,ATP7A,NDUFAF8,MCM6,TCF20,KLHL40,TBCD,HPCA,CDON,NECAP1,TBK1,SCN8A,PPOX,IKBKB,RAG1,HLA-DQA1,TRNV,SALL1,CDKL5,ALG8,CDK19,COL1A1,SLC18A3,KAT6B,SOS2,ACSF3,TRPV6,ND2,LYRM4,PEX14,POGZ,TP53,DDHD2,LZTR1,PSPH,RRAS,ZAP70,IPW,RIT1,CEP104,LIPT2,ALX4,IL2RG,CHRM3,EPAS1,NDUFA11,TELO2,PYCR2,AIRE,EMG1,IL21,TCIRG1,MC2R,ATAD3A,PRMT7,LAMA3,PLA2G6,WASHC5,LMNB1,FSHR,TMEM127,CD79A,SON,CHCHD10,COL11A1,GRHL3,ACVRL1,PON3,LIMK1,DBT,HLA-B,MMP1,NDUFS2,NFU1,SLC12A1,ADGRG1,IYD,CA12,DGAT1,GABRA3,ARCN1,TP63,SNRPB,IQSEC2,ERBB4,SNAP25,KCNK9,STAT1,MMUT,MYL2,GYPC,PEX16,HIRA,VPS11,SYNGAP1,RLIM,PRTN3,FCSK,ATP8B1,CWC27,ZC3H14,BCR,SIK1,SCN11A,KCNJ5,HPS1,B3GALNT2,EZH2,KRAS,CRADD,PMM2,BMP4,NNT,SDHD,MAP2K2,PWAR1,TNFRSF1A,SLC1A4,GNB1,IDS,DCPS,PIGA,TBL1X,SLC22A5,NTNG1,EPCAM,SDHB,HADH,SNRPN,THRA,PRSS12,PRKCSH,SMARCA4,PIGY,IRF5,LAMC2,TAF1,DES,KRT17,ADA2,TRAPPC9,KLRC4,ABCG8,MAX,DLX4,TNFRSF13C,BIN1,POMK,SMARCC2,SARS1,TSEN2,SLC25A4,PLEC,MYT1L,G6PD,TKFC,ASXL3,SRSF2,CD55,IQSEC1,ADAM17,ITCH,DLG1,NR3C2,HLA-DPB1,MOCS2,SIN3A,ZIC2,CCND1,GABRA2,DHPS,SCN2A,CALR,SRP54,ARVCF,ORC1,HFE,CHRND,RHBDF2,COL6A2,PIBF1,TSHR,ND3,PEX3,COL6A1,WIPF1,NACC1,TRAPPC4,CDC6,STAT3,HMBS,ZSWIM6,FLCN,GLT8D1,ADNP,SLC16A2,GALE,GFM1,GTF2I,ATRX,ARV1,TLR3,SIM1,SOX4,ND4,TRNS2,EDNRA,A2ML1,SLC16A1,KDM5B,FH,PNPLA8,CBL,SLC9A6,NDST1,SPINK1,BAP1,CFHR1,TYMP,NFASC,CYP7B1,DNMT3A,TH,DYNC2LI1,CRLF1,NDUFB9,HSD3B7,HLA-DPA1,GFPT1,LIFR,EZR,PTS,SLC37A4,PCCA,ERCC6,BACH2,CD3D,WT1,CARS1,ABL1,KATNIP,BRAF,PEX6,CHRNB1,TBL2,CD40LG,GABRD,PRKN,KCNAB2,MVK,CDH23,KRT16,TRNC,SURF1,CD3E,MTM1,EEF1A2,NOD2,PRKD1,SPIB,NDUFAF2,SLC5A6,KRT5,DCLRE1C,CBS,AGRN,PEX12,NONO,HNMT,TRNF,TERT,DAXX,PLAA,CYP11B1,CLCF1,NEFH,NDUFV1,GIGYF2,MYMK,RFXAP,RNASEH1,PEX10,SQSTM1,POLA1,COX7B,ANKRD11,SCARB2,PEX19,CAMTA1,C12ORF4,DEAF1,ABCB4,SMAD4,CNOT2,TREM2,SEMA3D,TRAF3,CIITA,ADH1C,MTOR,DMPK,SNORD116-1,HNF1A,ERCC5,SEC63,ND1,SYNJ1,SUCLA2,GINS1,UGP2,ATP6V1A,IGH,NDUFS7,MEF2C,IGLL1,ACTG2,SP110,PHGDH,EXOSC8,TSPYL1,GTF2IRD1,BRCA2,IRAK1,MOGS,TRIP4,SAR1B,RRAS2,HRAS,AP3B2,CD46,PIGU,EPG5,CLPB,MYH3,GFM2,ZEB2,MN1,IFNG,SNIP1,PIGT,DHCR24,PRNP,IL6ST,CLIP1,ERAP1,NHLRC1,SERAC1,TREH,IGF2,PIGO,PRDX1,TPM2,TCTN3,TLK2,ASXL2,GLA,CAVIN1,TBC1D24,ACADM,ST3GAL3,NUS1,PDGFRA,MLYCD,ASPA,TALDO1,MRAP,OXCT1,GSC,MPV17,PRKAR1A,NKX2-1,ASNS,POLE,CTBP1,HELLPAR,KNSTRN,MAPT,ARNT2,INSR,SPART,SLC7A7,HSD3B2,CACNA1D,SLC4A1,POU1F1,ANK1,CD109,PHOX2B,CDH1,SLC1A2,PRSS1,HNF4A,SPTB,IRF2BP2,NRAS,PIGG,TWNK,IL12B,POLR3A,ACP2,RMND1,COG4,PTPN3,TRIP11,PANK2,PSMB8,PDE6D,MLX,IARS1,DDC,ORC4,RAF1,GMNN,TRAF3IP2,COL7A1,NLRP3,PIK3CA,KCNA1,GTPBP3,PTCH1,BCOR,ZMIZ1,NDUFAF3,KIF1B,VCP,ERCC2,FIG4,ABCB11,CPLX1,UBE2A,ACTN2,DHDDS,SMC3,SCN4A,PML,CACNA1A,COX1,PRSS2,KCNJ18,RAD21,ENG,NOVA2,EXT2,STAC3,DDX6,SDHAF1,FOXP2,ORC6,CTCF,JMJD1C,VHL,HLA-DRB1,PIK3CD,CCN2,TXNRD2,SLC45A1,ETFA,RPS20,EPOR,TIMM22,WDFY3,PLXND1,UQCRFS1,ATP6,STAR,SLC5A7,PSAT1,USP8,REST,TBCK,FGFR1,TSC2,VDR,PAFAH1B1,MRPS34,AIFM1,KRT1,ARSA,PGAP1,MAP2K1,SHH,CPOX,GABRB2,STOX1,PQBP1,TANGO2,BMPR1A,UBE3B,SPTBN4,HSD17B4,CYTB,NOS1,COL5A2,COLQ,TPO,SKIV2L,HADHB,PKP1,GPT2,IL17F,GATA6,GNA11,RASA2,SSR4,TRRAP,WDR26,RARS1,DDIT3,NAB2,DACT1,TFRC,DAO,LRIG2,MEN1,SZT2,HOXB1,AFF4,FGF12,PDGFB,PIGL,NLRC4,FOXP3,PPP3CA,CLCNKB,BCORL1,WDR35,CLCN4,BIRC3,AP1S2,GPHN,LRBA,EPHB4,SIX3,MIF,NTRK2,PHKB,LRRC8A,MAMLD1,EDN1,FBXW11,PIEZO2,COL5A1,ABCC8,NAGS,RRM2B,DCTN1,ABCA1,ADARB1,MAGEL2,ALAD,STAT4,EDN3,C12ORF65,HACD1,RANBP2,DYNC2I2,TDGF1,BMP2,ALPL,SLC52A1,UBTF,GRM7,SLC25A15,NEK1,DNM1L,VAPB,FMN2,EGFR,NPHP1,PMS2,NSUN2,PFN1,CEL,C4A,DUOX2,ARID1B,IKZF1,ARL13B,ARMC9,COX2,ATP6V1E1,C11ORF95,TRNL1,NPHS1,KCNJ11,RECQL4,RUNX1,GK,IFT140,MLH3,CORIN,PIGQ,IL12A,HCN1,CYP27B1,COG7,PEX5,ACTL6B,DPM2,GBA,CENPT,ANXA11,FGFR2,POLR1B,SOX11,SYT1,CDC73,TRIO,SPINT2,ALDH6A1,PARS2,WFS1,SMC1A,APC,LINGO1,DOCK3,ASL,CD19,PEX1,MRPS7,SNX10,KCNQ2,MSL3,NSD1,KAT6A,ANG,HTT,IVD,FRRS1L,MPDU1,NIPBL,GNAS,RIPK1,TRMU,CDC45,TRNE,VPS13C,KDM1A,DYNC2I1,WWOX,TUBB6,NUMA1,PGAP2,PPARGC1A,ASH1L,KIAA0753,HNF1B,SOS1,CHAMP1,PMPCB,RAC3,AQP2,PDCD10,BCL11B,NRTN,BCL10,TGIF1,FAT4,RNF168,TPM3,AP1S1,SCO2,PIK3R1,GNE,FOXG1,WARS2,MYO5B,RARS2,PI4KA,CCM2,BUB1B,SLC2A2,SH3BP2,PIGS,KCNB1,GHSR,IBA57,TIMMDC1,IRF6,PNPO,TCTN2,CDKN2A,ALG11,FLNA,HYLS1,CLDN16,LIPA,SLC13A5,OCRL,KLHL7,CFI,UFM1,GPC3,GRIN1,UCHL1,FLI1,DCHS1,ASS1,GABRA5,NCAPG2,KIF7,MYD88,AUTS2,STX3,TSFM,CACNA1B,PODXL,NDUFAF4,SARS2,LRP5,CDK8,RORA,TARDBP,EIF4A3,GATA2,HPSE2,FBXO31,ACTA1,SERPING1,ALDOB,LHX1,ICOS,SLC5A1,PTPN11,DPYS,EPM2A,SOD1,KDM3B,MEFV,SNORD115-1,DISP1,SLC5A5,CYFIP2,RFC2,SEC24C,SPOP,GCDH,IGKC,ESR1,TRMT1,KBTBD13,TNFRSF13B,HS6ST2,B3GLCT,CLEC7A,CDT1,CDKN2B,HPRT1,DNAJC13,PTEN,SIK3,SLC25A13,PIGW,CC2D1A,BRCA1,TCF3,STT3B,TLR4,INPP5E,NDUFS8,DDOST,GSX2,SRPX2,METTL23,NALCN,EPB42,PPP2R1A,SCN9A,DIS3L2,DEGS1,ALG12,POLG2,NR4A2,COLEC10,KCNN4,RERE,NF2,SRCAP,NDUFB8,UQCC3,CPLANE1,NEXMIF,THOC2,NDUFB11,PDSS2,GP1BA,MAN1B1,ARHGAP29,ANTXR2,MBTPS2,HNRNPA1,NDUFAF1,DHCR7,ACTB,PHKG2,OTX2,ISCA1,CPT2,ITGA6,PROP1,ERCC4,SUFU,VRK1,SEMA4A,MTRR,TGFBR2,UNC13A,HNRNPH2,HMGCS2,IGHM,TTC21B,KMT2E,DHX30,F5,RAB27A,CCDC22,RNF6,PYGL,HYOU1,TET2,WNK1,TCN2,STK11,LMAN2L,TANC2,CAV1,COG6,BLNK,TRIM28,IL6,BRPF1,KCNH1,CHD7,NDUFB3,USP7,KANSL1,GLRX5,SMO,POMT1,NEPRO,CARMIL2,CSNK2A1,MED25,ALG3,MNX1,MRPL3,SVBP,SEMA3C,CDK13,DST,IL12A-AS1,SYT2,FOXH1,BICD2,SCN1B,TAF15,TRH,HDAC8,CR2,ARID1A,MSX1,DSE,CD79B,AGTPBP1,PEX2,LIAS,CTNNB1,RYR1,MESP2,RETREG1,ERCC8,TRPM4,CHCHD2,DUOXA2,PACS1,ETHE1,OTULIN,SMARCB1,PNPT1,ACTL6A,NSMCE3,GAS1,AVP,LHX4,CHRNE,BCS1L,UBQLN2,FAN1,ABCC2,CDKN1B,RSRC1,IER3IP1,SNCA,HLCS,ODC1,RPS6KA3,MALT1,TRNK,SAA1,AIMP1,DYRK1A,PIGC,ATXN2,RFXANK,GMPPB,MTO1,CYP11A1,TMEM216,BAZ1B,ZNF462,NKX3-2,HESX1,ASXL1,SHOC2,PUF60,NF1,EXOSC3,SDHA,CAMK2B,P4HTM,NBN,NECTIN1,USP9X,KCNJ1,IGHMBP2,SLC25A11,GNS,NDUFS4,STAG1,GATAD2B,ND5,TK2,HTRA2,CFH,EXOSC9,MDH2,MAOA,TCTN1,SLC12A3,NUBPL,GRIA4,DZIP1L,PBX1,RNF13,BRAT1,AKR1D1,DLL1,LRP4,LCT,PPM1D,TNPO3,PIGP,CYP2R1,CYP27A1,NDUFS3,HADHA,LHX3,TSC1,TRMT10C,FKRP,TSEN54,TTC7A,MED17,GLE1,FOXP1,CD247,TMEM237,PLVAP,MARS2,ADAT3,KIT,HIBCH,NTRK1,SUCLG1,KDM6A,AIMP2,CFL2,SMARCD1,DLEC1,CTLA4,ACADVL,PCSK1,GALC,PWRN1,STAT6,UBE3A,IL7R,SUGCT,NFIX,STXBP1,TRHR,NDUFS1,GNAI3,ALDH18A1,COX3,KAT8,MKRN3-AS1,MSH6,DNAJC6,PERCC1,PTH1R,PIEZO1,NKX2-5,GLI2,MYO9A,ITGA7,CHRNA1,FOXRED1,CDKN2C,HK1,CEP120,UCP2,ACAT1,TRNS1,UFD1,MMADHC,SLC25A26,TECR,LMOD3,SUZ12,SLC25A22,VPS51,SCYL2,RAC1,CRBN,GRIK2,FAM149B1,CFTR,OPLAH,CLMP,JAK2,WNT2B,SOX5,SLC40A1,C5,CHMP2B,VAMP1,TRAPPC11,TREX1,SCN10A,RNF113A,ITPA,IL23R,STAT5B,SLC26A3,MTHFS,ZBTB16,MED12L,CFHR3,SLC25A1,AGA,COQ2,PIGV,VANGL1,GABBR2,PHKA2,WDR73,POLR2A,CFAP410,PAX8,PPP2CA,MMAB,NEB,CISD2,EFL1,GUCY2C,NRXN1,ST3GAL5,NCF4,MPL,AKT1,PSMD12,CNTNAP2,SPATA5,EDNRB,INPPL1,PDE10A,SLC19A2,MPI,MYH8,DNMT3B,JAK3,CNTN1,SLC26A4,MGME1,ACTG1,COL2A1,LMX1B,RPGRIP1L,MET,MLXIPL,CPT1A,SLC35A2,NDUFAF5,SCN3A,KLHL41,STT3A,IFNGR1,NARS2,KIF5A,NDUFB10,MTHFD1,PAH,LARGE1,C2CD3,FLT1,TASP1,CHD8,DALRD3,PURA,MYH11,RALGAPA1,ELN,ZC4H2,OFD1,PTPN23,RMRP,GABRG2,DNM1,KIF23,CCR6,VPS35,CLIP2,HBB,DCX,SH2B1,NGLY1,MBD5,TUSC3,FIP1L1,MTHFR,SLC1A3,TXNL4A,HIVEP2,FUT8,LMOD1,CTNS,D2HGDH,ELANE,FBN1,KRT14,BCKDHA,LAMA2,TRNQ,TBL1XR1,UBAC2,KRT8,KIAA0319L,DLD,SMARCD2,STX16,RAB11B,WAC,SLC26A2,FUS,HECW2,RFX5,MOCS1,CD96,EP300,SLC25A24,WASHC4,FBP1,OTUD6B,SPTA1,BCKDHB,TET3,GPR35,ZNHIT3,SI,DBH,CPS1,MED23,KMT2A,HSPD1,NUP214,RAI1,ITGB4
Abdominal wall defect	POGZ,BMPER,PIK3CD,PPP2R3C,CCDC22,FLNB,RAD51,CDH11,SHPK,FANCM,HDAC4,FANCB,SEMA3E,HOXD13,FARSB,CUL4B,C1R,KCNH1,EFEMP2,NFIA,FGFR1,PAFAH1B1,CHD7,WASHC5,PYCR1,GJA1,DMXL2,GLIS3,ZFP57,COL11A1,MED25,TGFBR1,TTC37,AR,P3H1,FANCA,LIMK1,BRIP1,STRA6,SCN1B,FANCC,B3GAT3,MSX1,AMER1,LTBP4,IYD,COL5A2,DSE,MAD2L2,TPO,SKIV2L,MKS1,AMHR2,EFNB1,TP63,GATA6,AEBP1,GLI3,DGCR6,TRRAP,FANCI,MESP2,HIRA,DACT1,PLOD2,NEK9,DUOXA2,PACS1,IDUA,BCR,CLDN19,SIK1,PRKG1,GPC6,EZH2,LHX4,RPL10,RIN2,SOX6,GLRA1,WDR35,CLCN4,ODC1,RPS6KA3,AP1S2,IDS,DYRK1A,MFAP5,GPHN,APC2,PRDM5,NEUROD2,MAPK1,FBXW11,PIEZO2,THRA,COL5A1,ABCC8,BAZ1B,LBR,PIGY,TWIST2,ABCD4,GTF2E2,HESX1,ASXL1,RIC1,ATP6V0A2,DVL1,PUF60,GPC4,MASP1,MMP2,COMT,DYNC2I2,CRKL,ATAD1,NECTIN1,ZEB1,GNPTAB,FREM2,ADAMTS2,UBA1,DLL3,TGFB3,GNAO1,SIN3A,MEIS2,HSPG2,SCN2A,HES7,ARVCF,DUOX2,ARID1B,DVL3,MEGF8,MECP2,TSHR,TENT5A,FGD1,ATP6V1E1,EHMT1,RREB1,SKI,RNF13,ADNP,HELLS,BRAT1,BSCL2,COL3A1,FANCF,GTF2I,GALNS,ATRX,KCNJ11,WNT3,SHANK3,GUSB,ISL1,PIGP,SLC6A5,KDM5B,LHX3,PIGQ,KCNJ8,LDHD,TTC7A,SEMA5A,DNMT3A,TSHB,FGFR2,FZD2,CREBBP,SATB2,MYLK,COLEC11,SEC31A,CHUK,CTNND2,CASK,NSD1,MAPRE2,LFNG,TBL2,NIPBL,MAT2A,NFIX,STXBP1,TRHR,RIPPLY2,H19-ICR,ALDH18A1,NEU1,ARSB,GRIP1,SPECC1L,PTDSS1,DYNC2I1,TMEM67,NKX2-5,ARX,VANGL2,FANCD2,CBS,CEP120,FANCE,UFD1,FRAS1,LRP2,IFT81,DYNC2H1,SH3PXD2B,BCL11B,HIC1,SUZ12,SLC25A22,KCNQ1OT1,DGCR2,POLA1,RAC1,NOTCH2,SMAD4,FTO,EED,PIK3R1,GNE,XRCC4,RAB23,FBLN5,ELMO2,TUBB,MTOR,MAN2B1,NSDHL,AGPAT2,STS,ZIC3,EOGT,PIGS,RNF113A,TBX3,ANTXR1,ROR2,ALG9,SETD2,PALB2,LOX,IRF6,ABCC9,ATP6V1A,AMH,CHRNG,FLNA,HYLS1,ACTG2,MMP14,OCRL,PHGDH,GTF2IRD1,KLHL7,BRCA2,GPC3,GP1BB,IRX5,FLI1,AGA,RAD51C,GTF2H5,LONP1,KIF7,AUTS2,CHST14,POLR2A,FKBP14,NAA10,UBE2T,SLC2A10,PAX8,PPP2CA,PPP1R12A,YWHAE,CC2D2A,MYH3,NXN,COL1A2,TRIM8,ZBTB24,WDR19,SNIP1,CDC42,ACTA2,SETBP1,TMCO1,IGF2,ERCC3,DNMT3B,CDCA7,PORCN,CDKN1C,SLX4,FOXF1,FOXE3,KCNQ1,MPLKIP,GDF1,COL2A1,RPGRIP1L,SMAD3,MLXIPL,ELOVL4,KDM3B,SLC5A5,PLOD1,RFC2,SEC24C,TRAF7,MED13L,NAT8L,KNSTRN,TASP1,FIBP,TARS1,MYH11,SERPINH1,RFWD3,POU1F1,ELN,B3GLCT,OFD1,FANCL,MED12,NOTCH1,TG,CCBE1,ESS2,H19,BRCA1,CHST3,IKBKG,C1S,CLIP2,PLAGL1,PLD1,INPP5E,SLC10A7,TMEM70,COL11A2,WNT5A,MAF,BHLHA9,SF3B4,NALCN,NPHP3,SMCHD1,MTHFR,IFT80,LMOD1,PNKP,HYMAI,PPP2R1A,DIS3L2,COLEC10,TRIP11,FBN1,SRCAP,PIGN,DPH1,TOR1A,NOTCH3,FREM1,TBX1,GMNN,NLRP3,XRCC2,KCNA1,MBTPS2,PTCH1,BCOR,ATP7A,DHCR7,SLC26A2,BMP1,ERCC2,GLRB,CD96,SLC25A24,GLB1,TMEM107,FANCG,TGDS,PROP1,DGCR8,ERCC4,SUFU,SALL1,CDKL5,TGFBR2,TGFB2,COL1A1,DDX6,BRF1,CTCF,JMJD1C
Abdominal wall muscle weakness	SKI,VDR,SMCHD1,PIGQ,MAP2K2,GYG1,PTEN,NF1,CYP27B1,FRG1,MYH7,CAPN3
Abducens palsy	TRPV4
Aberrant melanosome maturation	AP3B1
Abetalipoproteinemia	MTTP
Ablepharon	TWIST2,PHGDH
Abnormal 2nd finger morphology	PIK3CD,COL2A1,MED12,CHSY1,MED25,MEIS2,TGDS,GPC4,FLNA,PTRH2,GDF5,CSGALNACT1,INTU,RUNX2,TWIST1,KIF15,BHLHA9,MYCN,HOXD13,GPC3,KNSTRN,HOXA13,BMPR1B,IRX5,BMP2,IHH,FGFR2,OPA3
Abnormal 3rd finger morphology	FGFR2,KNSTRN,CHSY1,FGF10,MED25,PIK3CD,TWIST1,COL2A1,PTRH2,GLI3,PKDCC,IHH,GDF5,FGFR3
Abnormal 3rd finger phalanx morphology	CHSY1,COL2A1,TWIST1,GDF5,FGFR2
Abnormal 4th finger morphology	FBXW11,KNSTRN,ABCC8,KCNJ11,PIK3CD,COL2A1,GLI3,IHH,GDF5
Abnormal 4th finger phalanx morphology	GDF5,COL2A1
Abnormal 5th finger morphology	LZTR1,RRAS,CENPJ,GATA4,FLNB,RAD51,BBIP1,PHF21A,RIT1,PLXND1,TELO2,FANCM,HDAC4,FANCB,HOXD13,SEMA3E,CUL4B,EMG1,PAFAH1B1,DPAGT1,CHD7,GJA1,USP7,ZFPM2,CCDC8,SMO,CUL7,SHH,COL11A1,PIK3R2,TGFBR1,PQBP1,FANCA,IFT122,DONSON,EVC,LIMK1,BRIP1,UBE3B,CEP55,FANCC,STAG2,RNF216,HDAC8,ARID1A,AMER1,PIK3C2A,MAD2L2,TMEM231,MKS1,EFNB1,MAP1B,TP63,SNRPB,IQSEC2,GATA6,GLI3,RASA2,TRRAP,FANCI,DACT1,PACS1,BCR,SMARCB1,ARID2,CCDC28B,RPL10,KRAS,PIGL,SOX6,BMP4,SC5D,TRAIP,PCNT,SMARCE1,WDR35,IFT43,ODC1,ZDHHC9,RPGRIP1,TBX15,BBS5,SMOC1,KDM6B,PACS2,ATRIP,MAPK1,FBXW11,BBS7,FGF10,PIEZO2,MAPK8IP3,RNU4ATAC,TMEM216,BAZ1B,SMARCA4,ARL6,LBR,ZNF462,BLM,DVL1,SLC9A7,PUF60,GPC4,TRAPPC9,MASP1,DYNC2I2,CIBAR1,SMARCC2,EVC2,HOXA13,CRKL,BMP2,IHH,BUB3,PRDM16,NEK1,WNT7A,MEIS2,DHPS,STAG1,NPHP1,NSUN2,B9D2,ORC1,HMGA2,TFAP2B,ARID1B,DVL3,MEGF8,ARMC9,FGD1,NIN,KLF13,GATA1,CDC6,CNOT3,SKI,AFF2,GATA5,AMMECR1,BRAT1,CCND2,PKDCC,FANCF,GTF2I,ATRX,CHSY1,SHANK3,SOX4,SIM1,A2ML1,PLK4,IFT140,CBL,KMT2D,DDX59,BBS10,RBM8A,KCNJ2,DYNC2LI1,FGFR2,FZD2,SOX11,CREBBP,CEP290,LIFR,FGFR3,TRIO,SATB2,LEMD3,CCNQ,SMC1A,FLII,ZNF141,WDPCP,TRPV4,KDM6A,SMARCD1,BRAF,CEP57,UBE3A,TBL2,RB1,NIPBL,GABRD,UBR1,H19-ICR,KCNAB2,MRAS,KAT8,CDC45,RAB18,SPECC1L,KDM1A,DYNC2I1,PTH1R,TMEM67,RBBP8,NKX2-5,BBS4,GLI2,IFT52,C8ORF37,FANCD2,KPTN,CEP120,NONO,FANCE,MACROH2A1,PLAA,SOS1,DYM,DYNC2H1,SH3PXD2B,JAG1,CENPE,HOXA11,HIC1,EBP,POLA1,IFT172,RAC1,DEAF1,CNOT2,RUNX2,XRCC4,KIF15,IGF1,CITED2,RAB23,BMPR1B,OBSL1,IFT27,AKT3,BUB1B,ACVR1,REV3L,BBS12,PIGS,RSPRY1,TBX3,ROR2,KCNK4,PALB2,CSPP1,TBX4,TCTN2,PNPLA6,FLNA,HYLS1,ATR,NKX2-6,GTF2IRD1,TRPS1,BRCA2,GPC3,RAD51C,FLT4,MECOM,KIF7,AUTS2,RRAS2,NAA10,UBE2T,SLC2A10,CHRNA7,YWHAE,CC2D2A,NXN,B9D1,NUP37,WDR19,AKT1,EIF4A3,DPF2,SETBP1,L1CAM,TMCO1,IGF2,PORCN,SLX4,TCTN3,GDF1,COL2A1,PTPN11,LMX1B,TBC1D24,WDR4,RPGRIP1L,BBS1,MLXIPL,ESCO2,RFC2,SPOP,NOG,C2CD3,TWIST1,SDCCAG8,RFWD3,ELN,B3GLCT,ZC4H2,CDT1,VPS13B,XYLT1,OFD1,FANCL,PTEN,KIAA0825,GJA5,ALX3,BRCA1,CHST3,TTC8,CLIP2,GDF5,MKKS,INPP5E,NRAS,WNT5A,MAF,BHLHA9,MBD5,MYCN,TRIP13,SETD5,IFT80,CANT1,PPP2R1A,BBS2,TFAP2A,RERE,PIGH,PDE6D,SRCAP,PIGN,LIG4,MAN1B1,ORC4,WIPI2,SLC29A3,TBX1,RAF1,GMNN,XRCC2,MBTPS2,C12ORF57,BCOR,PITX1,CKAP2L,DHCR7,SLC26A2,TCF20,CD96,EP300,LMBR1,LZTFL1,TRIM32,TMEM107,FANCG,SMC3,TGDS,ERCC4,SUFU,SALL1,BBS9,BUB1,RAD21,EXT2,SHOX,KMT2A,KAT6B,SOS2,CEP152,ORC6,TTC21B,CTCF,RAI1
Abnormal 5th finger phalanx morphology	H19-ICR,SMARCA4,SOX11,COL2A1,ROR2,GJA1,SMARCE1,DVL1,SOX4,PUF60,ZNF141,RBBP8,GDF5,TFAP2B,RUNX2,SMARCD1,ARID1B,WNT5A,KIF15,DPF2,BHLHA9,MYCN,SMARCC2,HOXD13,NOG,NIN,GATA1,BMPR1B,IGF2,BMP2,SMARCB1,ARID2,ARID1A
