Symbol	Full Name	Summary
LTA	lymphotoxin alpha 	The encoded protein, a member of the tumor necrosis factor family, is a cytokine produced by lymphocytes. The protein is highly inducible, secreted, and forms heterotrimers with lymphotoxin-beta which anchor lymphotoxin-alpha to the cell surface. This protein also mediates a large variety of inflammatory, immunostimulatory, and antiviral responses, is involved in the formation of secondary lymphoid organs during development and plays a role in apoptosis. Genetic variations in this gene are associated with susceptibility to leprosy type 4, myocardial infarction, non-Hodgkin's lymphoma, and psoriatic arthritis. Alternatively spliced transcript variants have been observed for this gene. [provided by RefSeq, Jul 2012].
LRRK1	leucine rich repeat kinase 1 	This gene encodes a multi-domain protein that is a leucine-rich repeat kinase and a GDP/GTP binding protein. The encoded protein is thought to play a role in the regulation of bone mass. Mice lacking a similar gene showed severe osteopetrosis, increased bone mineralization and decreased bone resorption. [provided by RefSeq, Jan 2017].
IL22	interleukin 22 	This gene is a member of the IL10 family of cytokines that mediate cellular inflammatory responses. The encoded protein functions in antimicrobial defense at mucosal surfaces and in tissue repair. This protein also has pro-inflammatory properties and plays a role in in the pathogenesis of several intestinal diseases. [provided by RefSeq, Jul 2018].
IGF1	insulin like growth factor 1 	The protein encoded by this gene is similar to insulin in function and structure and is a member of a family of proteins involved in mediating growth and development. The encoded protein is processed from a precursor, bound by a specific receptor, and secreted. Defects in this gene are a cause of insulin-like growth factor I deficiency. Alternative splicing results in multiple transcript variants encoding different isoforms that may undergo similar processing to generate mature protein. [provided by RefSeq, Sep 2015].
IL33	interleukin 33 	The protein encoded by this gene is a cytokine that binds to the IL1RL1/ST2 receptor. The encoded protein is involved in the maturation of Th2 cells and the activation of mast cells, basophils, eosinophils and natural killer cells. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2015].
CDKN1A	cyclin dependent kinase inhibitor 1A 	This gene encodes a potent cyclin-dependent kinase inhibitor. The encoded protein binds to and inhibits the activity of cyclin-cyclin-dependent kinase2 or -cyclin-dependent kinase4 complexes, and thus functions as a regulator of cell cycle progression at G1. The expression of this gene is tightly controlled by the tumor suppressor protein p53, through which this protein mediates the p53-dependent cell cycle G1 phase arrest in response to a variety of stress stimuli. This protein can interact with proliferating cell nuclear antigen, a DNA polymerase accessory factor, and plays a regulatory role in S phase DNA replication and DNA damage repair. This protein was reported to be specifically cleaved by CASP3-like caspases, which thus leads to a dramatic activation of cyclin-dependent kinase2, and may be instrumental in the execution of apoptosis following caspase activation. Mice that lack this gene have the ability to regenerate damaged or missing tissue. Multiple alternatively spliced variants have been found for this gene. [provided by RefSeq, Sep 2015].
FLNA	filamin A 	The protein encoded by this gene is an actin-binding protein that crosslinks actin filaments and links actin filaments to membrane glycoproteins. The encoded protein is involved in remodeling the cytoskeleton to effect changes in cell shape and migration. This protein interacts with integrins, transmembrane receptor complexes, and second messengers. Defects in this gene are a cause of several syndromes, including periventricular nodular heterotopias (PVNH1, PVNH4), otopalatodigital syndromes (OPD1, OPD2), frontometaphyseal dysplasia (FMD), Melnick-Needles syndrome (MNS), and X-linked congenital idiopathic intestinal pseudoobstruction (CIIPX). Two transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Mar 2009].
MIAT	myocardial infarction associated transcript 	This gene encodes a spliced long non-coding RNA that may constitute a component of the nuclear matrix. Altered expression of this locus has been reported to be associated with a susceptibility to myocardial infarction. It has also been proposed that pathways involving this transcript may contribute to the pathophysiology of schizophrenia. A similar gene in mouse has been associated with retinal cell fate determination. Alternatively spliced transcript variants have been identified. [provided by RefSeq, Dec 2014].
PRNP	prion protein 	The protein encoded by this gene is a membrane glycosylphosphatidylinositol-anchored glycoprotein that tends to aggregate into rod-like structures. The encoded protein contains a highly unstable region of five tandem octapeptide repeats. This gene is found on chromosome 20, approximately 20 kbp upstream of a gene which encodes a biochemically and structurally similar protein to the one encoded by this gene. Mutations in the repeat region as well as elsewhere in this gene have been associated with Creutzfeldt-Jakob disease, fatal familial insomnia, Gerstmann-Straussler disease, Huntington disease-like 1, and kuru. An overlapping open reading frame has been found for this gene that encodes a smaller, structurally unrelated protein, AltPrp. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2014].
KLF8	Kruppel like factor 8 	This gene encodes a protein which is a member of the Sp/KLF family of transcription factors. Members of this family contain a C-terminal DNA-binding domain with three Kruppel-like zinc fingers. The encoded protein is thought to play an important role in the regulation of epithelial to mesenchymal transition, a process which occurs normally during development but also during metastasis. A pseudogene has been identified on chromosome 16. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2009].
SCNN1A	sodium channel epithelial 1 subunit alpha 	Nonvoltage-gated, amiloride-sensitive, sodium channels control fluid and electrolyte transport across epithelia in many organs. These channels are heteromeric complexes consisting of 3 subunits: alpha, beta, and gamma. This gene encodes the alpha subunit, and mutations in this gene have been associated with pseudohypoaldosteronism type 1 (PHA1), a rare salt wasting disease resulting from target organ unresponsiveness to mineralocorticoids. Alternatively spliced transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Apr 2009].
PRDX2	peroxiredoxin 2 	This gene encodes a member of the peroxiredoxin family of antioxidant enzymes, which reduce hydrogen peroxide and alkyl hydroperoxides. The encoded protein plays an antioxidant protective role in cells, and it may contribute to the antiviral activity of CD8(+) T-cells. The crystal structure of this protein has been resolved to 2.7 angstroms. This protein prevents hemolytic anemia from oxidative stress by stabilizing hemoglobin, thus making this gene a therapeutic target for patients with hemolytic anemia. This protein may have a proliferative effect and play a role in cancer development or progression. Related pseudogenes have been identified on chromosomes 5, 6, 10 and 13. [provided by RefSeq, Mar 2013].
FFAR4	free fatty acid receptor 4 	This gene encodes a G protein-coupled receptor (GPR) which belongs to the rhodopsin family of GPRs. The encoded protein functions as a receptor for free fatty acids, including omega-3, and participates in suppressing anti-inflammatory responses and insulin sensitizing. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2012].
VEGFA	vascular endothelial growth factor A 	This gene is a member of the PDGF/VEGF growth factor family. It encodes a heparin-binding protein, which exists as a disulfide-linked homodimer. This growth factor induces proliferation and migration of vascular endothelial cells, and is essential for both physiological and pathological angiogenesis. Disruption of this gene in mice resulted in abnormal embryonic blood vessel formation. This gene is upregulated in many known tumors and its expression is correlated with tumor stage and progression. Elevated levels of this protein are found in patients with POEMS syndrome, also known as Crow-Fukase syndrome. Allelic variants of this gene have been associated with microvascular complications of diabetes 1 (MVCD1) and atherosclerosis. Alternatively spliced transcript variants encoding different isoforms have been described. There is also evidence for alternative translation initiation from upstream non-AUG (CUG) codons resulting in additional isoforms. A recent study showed that a C-terminally extended isoform is produced by use of an alternative in-frame translation termination codon via a stop codon readthrough mechanism, and that this isoform is antiangiogenic. Expression of some isoforms derived from the AUG start codon is regulated by a small upstream open reading frame, which is located within an internal ribosome entry site. The levels of VEGF are increased during infection with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), thus promoting inflammation by facilitating recruitment of inflammatory cells, and by increasing the level of angiopoietin II (Ang II), one of two products of the SARS-CoV-2 binding target, angiotensin-converting enzyme 2 (ACE2). In turn, Ang II facilitates the elevation of VEGF, thus forming a vicious cycle in the release of inflammatory cytokines. [provided by RefSeq, Jun 2020].
BCL2L14	BCL2 like 14 	The protein encoded by this gene belongs to the BCL2 protein family. BCL2 family members form hetero- or homodimers and act as anti- or pro-apoptotic regulators that are involved in a wide variety of cellular activities. Overexpression of this gene has been shown to induce apoptosis in cells. Three alternatively spliced transcript variants encoding two distinct isoforms have been reported for this gene. [provided by RefSeq, May 2009].
CD46	CD46 molecule 	The protein encoded by this gene is a type I membrane protein and is a regulatory part of the complement system. The encoded protein has cofactor activity for inactivation of complement components C3b and C4b by serum factor I, which protects the host cell from damage by complement. In addition, the encoded protein can act as a receptor for the Edmonston strain of measles virus, human herpesvirus-6, and type IV pili of pathogenic Neisseria. Finally, the protein encoded by this gene may be involved in the fusion of the spermatozoa with the oocyte during fertilization. Mutations at this locus have been associated with susceptibility to hemolytic uremic syndrome. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Jun 2010].
ENO1	enolase 1 	This gene encodes alpha-enolase, one of three enolase isoenzymes found in mammals. Each isoenzyme is a homodimer composed of 2 alpha, 2 gamma, or 2 beta subunits, and functions as a glycolytic enzyme. Alpha-enolase in addition, functions as a structural lens protein (tau-crystallin) in the monomeric form. Alternative splicing of this gene results in a shorter isoform that has been shown to bind to the c-myc promoter and function as a tumor suppressor. Several pseudogenes have been identified, including one on the long arm of chromosome 1. Alpha-enolase has also been identified as an autoantigen in Hashimoto encephalopathy. [provided by RefSeq, Jan 2011].
FEZF1	FEZ family zinc finger 1 	This gene encodes a transcriptional repressor that belongs to the zinc finger double domain protein family. The encoded protein is thought to play a role in the embryonic migration of gonadotropin-releasing hormone neurons into the brain. Mutations in this gene are associated with hypogonadotropic hypogonadism-22 with anosmia. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2014].
BCHE	butyrylcholinesterase 	This gene encodes a cholinesterase enzyme and member of the type-B carboxylesterase/lipase family of proteins. The encoded enzyme exhibits broad substrate specificity and is involved in the detoxification of poisons including organophosphate nerve agents and pesticides, and the metabolism of drugs including cocaine, heroin and aspirin. Humans homozygous for certain mutations in this gene exhibit prolonged apnea after administration of the muscle relaxant succinylcholine. [provided by RefSeq, Jul 2016].
SCNN1G	sodium channel epithelial 1 subunit gamma 	Nonvoltage-gated, amiloride-sensitive, sodium channels control fluid and electrolyte transport across epithelia in many organs. These channels are heteromeric complexes consisting of 3 subunits: alpha, beta, and gamma. This gene encodes the gamma subunit, and mutations in this gene have been associated with Liddle syndrome. [provided by RefSeq, Apr 2009].
TANGO2	transport and golgi organization 2 homolog 	This gene belongs to the transport and Golgi organization family, whose members are predicted to play roles in secretory protein loading in the endoplasmic reticulum. Depletion of this gene in Drosophila S2 cells causes fusion of the Golgi with the ER. In mouse tissue culture cells, this protein co-localizes with a mitochondrially targeted mCherry protein and displays very low levels of co-localization with Golgi and peroxisomes. Allelic variants of this gene are associated with rhabdomyolysis, metabolic crises with encephalopathy, and cardiac arrhythmia. [provided by RefSeq, Apr 2016].
FLT1	fms related receptor tyrosine kinase 1 	This gene encodes a member of the vascular endothelial growth factor receptor (VEGFR) family. VEGFR family members are receptor tyrosine kinases (RTKs) which contain an extracellular ligand-binding region with seven immunoglobulin (Ig)-like domains, a transmembrane segment, and a tyrosine kinase (TK) domain within the cytoplasmic domain. This protein binds to VEGFR-A, VEGFR-B and placental growth factor and plays an important role in angiogenesis and vasculogenesis. Expression of this receptor is found in vascular endothelial cells, placental trophoblast cells and peripheral blood monocytes. Multiple transcript variants encoding different isoforms have been found for this gene. Isoforms include a full-length transmembrane receptor isoform and shortened, soluble isoforms. The soluble isoforms are associated with the onset of pre-eclampsia.[provided by RefSeq, May 2009].
TGFB1	transforming growth factor beta 1 	This gene encodes a secreted ligand of the TGF-beta (transforming growth factor-beta) superfamily of proteins. Ligands of this family bind various TGF-beta receptors leading to recruitment and activation of SMAD family transcription factors that regulate gene expression. The encoded preproprotein is proteolytically processed to generate a latency-associated peptide (LAP) and a mature peptide, and is found in either a latent form composed of a mature peptide homodimer, a LAP homodimer, and a latent TGF-beta binding protein, or in an active form consisting solely of the mature peptide homodimer. The mature peptide may also form heterodimers with other TGFB family members. This encoded protein regulates cell proliferation, differentiation and growth, and can modulate expression and activation of other growth factors including interferon gamma and tumor necrosis factor alpha. This gene is frequently upregulated in tumor cells, and mutations in this gene result in Camurati-Engelmann disease. [provided by RefSeq, Aug 2016].
HBB	hemoglobin subunit beta 	The alpha (HBA) and beta (HBB) loci determine the structure of the 2 types of polypeptide chains in adult hemoglobin, Hb A. The normal adult hemoglobin tetramer consists of two alpha chains and two beta chains. Mutant beta globin causes sickle cell anemia. Absence of beta chain causes beta-zero-thalassemia. Reduced amounts of detectable beta globin causes beta-plus-thalassemia. The order of the genes in the beta-globin cluster is 5'-epsilon -- gamma-G -- gamma-A -- delta -- beta--3'. [provided by RefSeq, Jul 2008].
NFKB1	nuclear factor kappa B subunit 1 	This gene encodes a 105 kD protein which can undergo cotranslational processing by the 26S proteasome to produce a 50 kD protein. The 105 kD protein is a Rel protein-specific transcription inhibitor and the 50 kD protein is a DNA binding subunit of the NF-kappa-B (NFKB) protein complex. NFKB is a transcription regulator that is activated by various intra- and extra-cellular stimuli such as cytokines, oxidant-free radicals, ultraviolet irradiation, and bacterial or viral products. Activated NFKB translocates into the nucleus and stimulates the expression of genes involved in a wide variety of biological functions. Inappropriate activation of NFKB has been associated with a number of inflammatory diseases while persistent inhibition of NFKB leads to inappropriate immune cell development or delayed cell growth. NFKB is a critical regulator of the immediate-early response to viral infection. Alternative splicing results in multiple transcript variants encoding different isoforms, at least one of which is proteolytically processed. [provided by RefSeq, Aug 2020].
IL6R	interleukin 6 receptor 	This gene encodes a subunit of the interleukin 6 (IL6) receptor complex. Interleukin 6 is a potent pleiotropic cytokine that regulates cell growth and differentiation and plays an important role in the immune response. The IL6 receptor is a protein complex consisting of this protein and interleukin 6 signal transducer (IL6ST/GP130/IL6-beta), a receptor subunit also shared by many other cytokines. Dysregulated production of IL6 and this receptor are implicated in the pathogenesis of many diseases, such as multiple myeloma, autoimmune diseases and prostate cancer. Alternatively spliced transcript variants encoding distinct isoforms have been identified in this gene. A pseudogene of this gene is found on chromosome 9. [provided by RefSeq, Aug 2020].
MYB	MYB proto-oncogene, transcription factor 	This gene encodes a protein with three HTH DNA-binding domains that functions as a transcription regulator. This protein plays an essential role in the regulation of hematopoiesis. This gene may be aberrently expressed or rearranged or undergo translocation in leukemias and lymphomas, and is considered to be an oncogene. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2016].
HLA-A	major histocompatibility complex, class I, A 	HLA-A belongs to the HLA class I heavy chain paralogues. This class I molecule is a heterodimer consisting of a heavy chain and a light chain (beta-2 microglobulin). The heavy chain is anchored in the membrane. Class I molecules play a central role in the immune system by presenting peptides derived from the endoplasmic reticulum lumen so that they can be recognized by cytotoxic T cells. They are expressed in nearly all cells. The heavy chain is approximately 45 kDa and its gene contains 8 exons. Exon 1 encodes the leader peptide, exons 2 and 3 encode the alpha1 and alpha2 domains, which both bind the peptide, exon 4 encodes the alpha3 domain, exon 5 encodes the transmembrane region, and exons 6 and 7 encode the cytoplasmic tail. Polymorphisms within exon 2 and exon 3 are responsible for the peptide binding specificity of each class one molecule. Typing for these polymorphisms is routinely done for bone marrow and kidney transplantation. More than 6000 HLA-A alleles have been described. The HLA system plays an important role in the occurrence and outcome of infectious diseases, including those caused by the malaria parasite, the human immunodeficiency virus (HIV), and the severe acute respiratory syndrome coronavirus (SARS-CoV). The structural spike and the nucleocapsid proteins of the novel coronavirus SARS-CoV-2, which causes coronavirus disease 2019 (COVID-19), are reported to contain multiple Class I epitopes with predicted HLA restrictions. Individual HLA genetic variation may help explain different immune responses to a virus across a population.[provided by RefSeq, Aug 2020].
HGD	homogentisate 1,2-dioxygenase 	This gene encodes the enzyme homogentisate 1,2 dioxygenase. This enzyme is involved in the catabolism of the amino acids tyrosine and phenylalanine. Mutations in this gene are the cause of the autosomal recessive metabolism disorder alkaptonuria.[provided by RefSeq, May 2010].
PPP1R9A	protein phosphatase 1 regulatory subunit 9A 	This gene is imprinted, and located in a cluster of imprinted genes on chromosome 7q12. This gene is transcribed in both neuronal and multiple embryonic tissues, and it is maternally expressed mainly in embryonic skeletal muscle tissues and biallelically expressed in other embryonic tissues. The protein encoded by this gene includes a PDZ domain and a sterile alpha motif (SAM). It is a regulatory subunit of protein phosphatase I, and controls actin cytoskeleton reorganization. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2009].
CNTN6	contactin 6 	The protein encoded by this gene is a member of the immunoglobulin superfamily. It is a glycosylphosphatidylinositol (GPI)-anchored neuronal membrane protein that functions as a cell adhesion molecule. It may play a role in the formation of axon connections in the developing nervous system. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014].
TP63	tumor protein p63 	This gene encodes a member of the p53 family of transcription factors. The functional domains of p53 family proteins include an N-terminal transactivation domain, a central DNA-binding domain and an oligomerization domain. Alternative splicing of this gene and the use of alternative promoters results in multiple transcript variants encoding different isoforms that vary in their functional properties. These isoforms function during skin development and maintenance, adult stem/progenitor cell regulation, heart development and premature aging. Some isoforms have been found to protect the germline by eliminating oocytes or testicular germ cells that have suffered DNA damage. Mutations in this gene are associated with ectodermal dysplasia, and cleft lip/palate syndrome 3 (EEC3); split-hand/foot malformation 4 (SHFM4); ankyloblepharon-ectodermal defects-cleft lip/palate; ADULT syndrome (acro-dermato-ungual-lacrimal-tooth); limb-mammary syndrome; Rap-Hodgkin syndrome (RHS); and orofacial cleft 8. [provided by RefSeq, Aug 2016].
SOX9	SRY-box transcription factor 9 	The protein encoded by this gene recognizes the sequence CCTTGAG along with other members of the HMG-box class DNA-binding proteins. It acts during chondrocyte differentiation and, with steroidogenic factor 1, regulates transcription of the anti-Muellerian hormone (AMH) gene. Deficiencies lead to the skeletal malformation syndrome campomelic dysplasia, frequently with sex reversal. [provided by RefSeq, Jul 2008].
BRPF1	bromodomain and PHD finger containing 1 	This gene encodes a bromodomain, PHD finger and chromo/Tudor-related Pro-Trp-Trp-Pro (PWWP) domain containing protein. The encoded protein is a component of the MOZ/MORF histone acetyltransferase complexes which function as a transcriptional regulators. This protein binds to the catalytic MYST domains of the MOZ and MORF proteins and may play a role in stimulating acetyltransferase and transcriptional activity of the complex. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2016].
IL23R	interleukin 23 receptor 	The protein encoded by this gene is a subunit of the receptor for IL23A/IL23. This protein pairs with the receptor molecule IL12RB1/IL12Rbeta1, and both are required for IL23A signaling. This protein associates constitutively with Janus kinase 2 (JAK2), and also binds to transcription activator STAT3 in a ligand-dependent manner. [provided by RefSeq, Jul 2008].
SPATA18	spermatogenesis associated 18 	This gene encodes a p53-inducible protein that is able to induce lysosome-like organelles within mitochondria that eliminate oxidized mitochondrial proteins, thereby contributing to mitochondrial quality control. Dysregulation of mitochondrial quality control is associated with cancer and degenerative diseases. The encoded protein mediates accumulation of the lysosome-like mitochondrial organelles through interaction with B cell lymphoma 2 interacting protein 3 and B cell lymphoma 2 interacting protein 3 like at the outer mitochondrial membrane, which allows translocation of lysosomal proteins to the mitochondrial matrix from the cytosol. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2016].
EPHA2	EPH receptor A2 	This gene belongs to the ephrin receptor subfamily of the protein-tyrosine kinase family. EPH and EPH-related receptors have been implicated in mediating developmental events, particularly in the nervous system. Receptors in the EPH subfamily typically have a single kinase domain and an extracellular region containing a Cys-rich domain and 2 fibronectin type III repeats. The ephrin receptors are divided into 2 groups based on the similarity of their extracellular domain sequences and their affinities for binding ephrin-A and ephrin-B ligands. This gene encodes a protein that binds ephrin-A ligands. Mutations in this gene are the cause of certain genetically-related cataract disorders.[provided by RefSeq, May 2010].
INPP5D	inositol polyphosphate-5-phosphatase D 	This gene is a member of the inositol polyphosphate-5-phosphatase (INPP5) family and encodes a protein with an N-terminal SH2 domain, an inositol phosphatase domain, and two C-terminal protein interaction domains. Expression of this protein is restricted to hematopoietic cells where its movement from the cytosol to the plasma membrane is mediated by tyrosine phosphorylation. At the plasma membrane, the protein hydrolyzes the 5' phosphate from phosphatidylinositol (3,4,5)-trisphosphate and inositol-1,3,4,5-tetrakisphosphate, thereby affecting multiple signaling pathways. The protein is also partly localized to the nucleus, where it may be involved in nuclear inositol phosphate signaling processes. Overall, the protein functions as a negative regulator of myeloid cell proliferation and survival. Mutations in this gene are associated with defects and cancers of the immune system. Deficiencies in the encoded protein, SHIP1, have been associated with Inflammatory Bowel Disease types such as Crohn's Disease and Ulcerative Colitis. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Jul 2020].
ZFYVE27	zinc finger FYVE-type containing 27 	This gene encodes a protein with several transmembrane domains, a Rab11-binding domain and a lipid-binding FYVE finger domain. The encoded protein appears to promote neurite formation. A mutation in this gene has been reported to be associated with hereditary spastic paraplegia, however the pathogenicity of the mutation, which may simply represent a polymorphism, is unclear. [provided by RefSeq, Mar 2010].
CSF3R	colony stimulating factor 3 receptor 	The protein encoded by this gene is the receptor for colony stimulating factor 3, a cytokine that controls the production, differentiation, and function of granulocytes. The encoded protein, which is a member of the family of cytokine receptors, may also function in some cell surface adhesion or recognition processes. Alternatively spliced transcript variants have been described. Mutations in this gene are a cause of Kostmann syndrome, also known as severe congenital neutropenia. [provided by RefSeq, Aug 2010].
CHM	CHM Rab escort protein 	This gene encodes component A of the RAB geranylgeranyl transferase holoenzyme. In the dimeric holoenzyme, this subunit binds unprenylated Rab GTPases and then presents them to the catalytic Rab GGTase subunit for the geranylgeranyl transfer reaction. Rab GTPases need to be geranylgeranyled on either one or two cysteine residues in their C-terminus to localize to the correct intracellular membrane. Mutations in this gene are a cause of choroideremia; also known as tapetochoroidal dystrophy (TCD). This X-linked disease is characterized by progressive dystrophy of the choroid, retinal pigment epithelium and retina. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Mar 2016].
ITGB6	integrin subunit beta 6 	This gene encodes a protein that is a member of the integrin superfamily. Members of this family are adhesion receptors that function in signaling from the extracellular matrix to the cell. Integrins are heterodimeric integral membrane proteins composed of an alpha chain and a beta chain. The encoded protein forms a dimer with an alpha v chain and this heterodimer can bind to ligands like fibronectin and transforming growth factor beta 1. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Sep 2013].
FOXP2	forkhead box P2 	This gene encodes a member of the forkhead/winged-helix (FOX) family of transcription factors. It is expressed in fetal and adult brain as well as in several other organs such as the lung and gut. The protein product contains a FOX DNA-binding domain and a large polyglutamine tract and is an evolutionarily conserved transcription factor, which may bind directly to approximately 300 to 400 gene promoters in the human genome to regulate the expression of a variety of genes. This gene is required for proper development of speech and language regions of the brain during embryogenesis, and may be involved in a variety of biological pathways and cascades that may ultimately influence language development. Mutations in this gene cause speech-language disorder 1 (SPCH1), also known as autosomal dominant speech and language disorder with orofacial dyspraxia. Multiple alternative transcripts encoding different isoforms have been identified in this gene.[provided by RefSeq, Feb 2010].
NLRP12	NLR family pyrin domain containing 12 	This gene encodes a member of the CATERPILLER family of cytoplasmic proteins. The encoded protein, which contains an N-terminal pyrin domain, a NACHT domain, a NACHT-associated domain, and a C-terminus leucine-rich repeat region, functions as an attenuating factor of inflammation by suppressing inflammatory responses in activated monocytes. Mutations in this gene cause familial cold autoinflammatory syndrome type 2. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2013].
TCF7L2	transcription factor 7 like 2 	This gene encodes a high mobility group (HMG) box-containing transcription factor that plays a key role in the Wnt signaling pathway. The protein has been implicated in blood glucose homeostasis. Genetic variants of this gene are associated with increased risk of type 2 diabetes. Several transcript variants encoding multiple different isoforms have been found for this gene.[provided by RefSeq, Oct 2010].
BEST1	bestrophin 1 	This gene encodes a member of the bestrophin gene family. This small gene family is characterized by proteins with a highly conserved N-terminus with four to six transmembrane domains. Bestrophins may form chloride ion channels or may regulate voltage-gated L-type calcium-ion channels. Bestrophins are generally believed to form calcium-activated chloride-ion channels in epithelial cells but they have also been shown to be highly permeable to bicarbonate ion transport in retinal tissue. Mutations in this gene are responsible for juvenile-onset vitelliform macular dystrophy (VMD2), also known as Best macular dystrophy, in addition to adult-onset vitelliform macular dystrophy (AVMD) and other retinopathies. Alternative splicing results in multiple variants encoding distinct isoforms.[provided by RefSeq, Nov 2008].
DDX17	DEAD-box helicase 17 	DEAD box proteins, characterized by the conserved motif Asp-Glu-Ala-Asp (DEAD), are putative RNA helicases. They are implicated in a number of cellular processes involving alteration of RNA secondary structure, such as translation initiation, nuclear and mitochondrial splicing, and ribosome and splicesosome assembly. Based on their distribution patterns, some members of this family are believed to be involved in embryogenesis, spermatogenesis, and cellular growth and division. This gene encodes a DEAD box protein, which is an ATPase activated by a variety of RNA species, but not by dsDNA. This protein, and that encoded by DDX5 gene, are more closely related to each other than to any other member of the DEAD box family. This gene can encode multiple isoforms due to both alternative splicing and the use of alternative translation initiation codons, including a non-AUG (CUG) start codon. [provided by RefSeq, Apr 2011].
Knops blood group	complement C3b/C4b receptor 1 	This gene is a member of the receptors of complement activation (RCA) family and is located in the 'cluster RCA' region of chromosome 1. The genome is polymorphic at this locus with allele-specific splice variants encoding different isoforms, based on the presence/absence of long homologous repeats (LHRs). The gene encodes a monomeric single-pass type I membrane glycoprotein found on erythrocytes, leukocytes, glomerular podocytes, and splenic follicular dendritic cells. The Knops blood group system is a system of antigens located on this protein. The protein mediates cellular binding to particles and immune complexes that have activated complement. Decreases in expression of this protein and/or mutations in this gene have been associated with gallbladder carcinomas, mesangiocapillary glomerulonephritis, systemic lupus erythematosus, sarcoidosis and Alzheimer's disease. Mutations in this gene have also been associated with a reduction in Plasmodium falciparum rosetting, conferring protection against severe malaria. [provided by RefSeq, May 2020].
PFKL	phosphofructokinase, liver type 	This gene encodes the liver (L) subunit of an enzyme that catalyzes the conversion of D-fructose 6-phosphate to D-fructose 1,6-bisphosphate, which is a key step in glucose metabolism (glycolysis). This enzyme is a tetramer that may be composed of different subunits encoded by distinct genes in different tissues. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2014].
NAV2	neuron navigator 2 	This gene encodes a member of the neuron navigator gene family, which may play a role in cellular growth and migration. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2011].
DNM1L	dynamin 1 like 	This gene encodes a member of the dynamin superfamily of GTPases. The encoded protein mediates mitochondrial and peroxisomal division, and is involved in developmentally regulated apoptosis and programmed necrosis. Dysfunction of this gene is implicated in several neurological disorders, including Alzheimer's disease. Mutations in this gene are associated with the autosomal dominant disorder, encephalopathy, lethal, due to defective mitochondrial and peroxisomal fission (EMPF). Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jun 2013].
PRKCH	protein kinase C eta 	Protein kinase C (PKC) is a family of serine- and threonine-specific protein kinases that can be activated by calcium and the second messenger diacylglycerol. PKC family members phosphorylate a wide variety of protein targets and are known to be involved in diverse cellular signaling pathways. PKC family members also serve as major receptors for phorbol esters, a class of tumor promoters. Each member of the PKC family has a specific expression profile and is believed to play a distinct role in cells. The protein encoded by this gene is one of the PKC family members. It is a calcium-independent and phospholipids-dependent protein kinase. It is predominantly expressed in epithelial tissues and has been shown to reside specifically in the cell nucleus. This protein kinase can regulate keratinocyte differentiation by activating the MAP kinase MAPK13 (p38delta)-activated protein kinase cascade that targets CCAAT/enhancer-binding protein alpha (CEBPA). It is also found to mediate the transcription activation of the transglutaminase 1 (TGM1) gene. Mutations in this gene are associated with susceptibility to cerebral infarction. [provided by RefSeq, Sep 2015].
CDK1	cyclin dependent kinase 1 	The protein encoded by this gene is a member of the Ser/Thr protein kinase family. This protein is a catalytic subunit of the highly conserved protein kinase complex known as M-phase promoting factor (MPF), which is essential for G1/S and G2/M phase transitions of eukaryotic cell cycle. Mitotic cyclins stably associate with this protein and function as regulatory subunits. The kinase activity of this protein is controlled by cyclin accumulation and destruction through the cell cycle. The phosphorylation and dephosphorylation of this protein also play important regulatory roles in cell cycle control. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2009].
